hd001, nv001, kh001, 21/12/2022, 2500
hd002, nv002, kh002, 23/11/2023, 2500
hd003, nv001, kh001, 12/05/2023, 6000
hd004, nv001, kh001, 12/12/2022, 14400
hd005, nv003, kh003, 12/11/2023, 9000
hd006, nv003, kh003, 12/11/2023, 9000
hd007, nv001, kh001, 12/12/2023, 60000
hd010, nv001, kh001, 12/12/2023, 4800
hd009, nv003, kh003, 12/12/2023, 10000
hd011, nv002, kh001, 12/12/2023, 14500
hd012, nv004, kh004, 12/12/2023, 6300
hd013, nv001, kh001, 12/12/2023, 6000
hd014, nv004, kh004, 12/12/2023, 6000
hd015, nv003, kh001, 12/12/2023, 12000
hd016, nv004, kh001, 12/12/2023, 19500
hd017, nv002, kh001, 12/12/2023, 3900
hd018, nv001, kh001, 08/12/2023, 3900
hd019, nv002, kh001, 09/12/2023, 3900
hd020, nv005, kh001, 10/12/2023, 2700000
hd021, nv005, kh001, 10/12/2023, 2700000
hd022, nv008, kh001, 09/12/2023, 70200
hd023, nv008, kh001, 10/12/2023, 109200
