pnh001, nv001, nsx001, 12/05/2023, 100000
pnh002, nv001, nsx001, 13/01/2023, 75000
pnh003, nv003, nsx003, 24/10/2023, 33600
pnh004, nv001, nsx001, 13/02/2023, 195000
pnh005, nv001, nsx001, 13/02/2023, 195000
pnh006, nv001, nsx001, 12/11/2023, 1000
pnh007, nv001, nsx001, 12/12/2022, 195000
pnh009, nv001, nsx001, 12/12/2023, 355000
pnh010, nv002, nsx002, 03/12/2023, 45000
pnh011, nv003, nsx003, 03/12/2023, 260000
pnh008, nv002, nsx003, 12/12/2023, 312500
pnh012, nv007, nsx004, 12/12/2022, 410000
pnh013, nv003, nsx004, 15/11/2022, 438000
pnh014, nv008, nsx005, 13/03/2022, 825000
pnh015, nv009, nsx005, 25/07/2022, 1000000
pnh016, nv005, nsx006, 21/05/2022, 645000
pnh017, nv001, nsx006, 25/09/2022, 599000
pnh018, nv009, nsx007, 24/11/2022, 697000
pnh019, nv002, nsx007, 01/12/2022, 492000
pnh020, nv003, nsx004, 09/23/2023, 150000
pnh021, nv005, nsx005, 09/12/2023, 2759000
pnh022, nv008, nsx005, 09/12/2023, 20000
pnh023, nv001, nsx001, 12/12/2023, 1
pnh024, nv001, nsx001, 12/12/2023, 1000
pnh025, nv008, nsx001, 10/12/2023, 30000
pnh026, nv001, nsx001, 10/12/2023, 30000
