pnh001, nv001, nsx001, 12/05/2023, 100000
pnh002, nv001, nsx001, 13/01/2023, 75000
pnh003, nv003, nsx003, 24/10/2023, 33600
pnh004, nv001, nsx001, 13/02/2023, 195000
pnh005, nv001, nsx001, 13/02/2023, 195000
pnh006, nv001, nsx001, 12/11/2023, 1000
pnh007, nv001, nsx001, 12/12/2022, 195000
pnh009, nv001, nsx001, 12/12/2023, 355000
pnh010, nv002, nsx002, 3/12/2023, 45000
pnh011, nv003, nsx003, 3/12/2023, 260000
pnh008, nv002, nsx003, 12/12/2023, 312500
pnh012, nv007, nsx004, 12/12/2022, 410000
pnh013, nv003, nsx004, 15/11/2022, 438000
pnh014, nv008, nsx005, 13/3/2022, 825000
pnh015, nv009, nsx005, 25/7/2022, 1000000
pnh016, nv005, nsx006, 21/5/2022, 645000
pnh017, nv001, nsx006, 25/9/2022, 599000
pnh018, nv009, nsx007, 24/11/2022, 697000
pnh019, nv002, nsx007, 1/12/2022, 492000
pnh020, nv010, nsx008, 15/5/2023, 1092000
pnh021, nv004, nsx008, 24/3/2023, 535000
